Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,326,1,77183.6,1,1,4,6,At-Risk
12347.0,2,7,4310.0,4,4,4,12,Gold
12348.0,75,4,1797.24,2,3,4,9,Silver
12349.0,19,1,1757.55,3,1,4,8,Silver
12350.0,310,1,334.4,1,1,2,4,Churned
12352.0,36,8,2506.04,3,4,4,11,Gold
12353.0,204,1,89.0,1,1,1,3,Churned
12354.0,232,1,1079.4,1,1,3,5,At-Risk
12355.0,214,1,459.4,1,1,2,4,Churned
12356.0,23,3,2811.43,3,3,4,10,Gold
12357.0,33,1,6207.67,3,1,4,8,Silver
12358.0,2,2,1168.06,4,2,3,9,Silver
12359.0,58,4,6372.58,2,3,4,9,Silver
12360.0,52,3,2662.06,2,3,4,9,Silver
12361.0,287,1,189.9,1,1,1,3,Churned
12362.0,3,10,5226.23,4,4,4,12,Gold
12363.0,110,2,552.0,2,2,2,6,At-Risk
12364.0,8,4,1313.1,4,3,3,10,Gold
12365.0,291,2,641.38,1,2,2,5,At-Risk
12367.0,4,1,168.9,4,1,1,6,At-Risk
12370.0,51,4,3545.69,3,3,4,10,Gold
12371.0,45,2,1887.96,3,2,4,9,Silver
12372.0,72,3,1298.04,2,3,3,8,Silver
12373.0,311,1,364.6,1,1,2,4,Churned
12374.0,25,1,742.9300000000001,3,1,3,7,Silver
12375.0,11,2,457.5,4,2,2,8,Silver
12377.0,315,2,1628.12,1,2,3,6,At-Risk
12378.0,130,1,4008.62,2,1,4,7,Silver
12379.0,82,2,852.24,2,2,3,7,Silver
12380.0,22,4,2724.81,3,3,4,10,Gold
12381.0,5,5,1845.31,4,3,4,11,Gold
12383.0,185,5,1850.56,1,3,4,8,Silver
12384.0,29,2,585.27,3,2,2,7,Silver
12386.0,338,2,401.9,1,2,2,5,At-Risk
12388.0,16,6,2780.66,4,4,4,12,Gold
12390.0,80,1,549.84,2,1,2,5,At-Risk
12391.0,22,1,460.89,3,1,2,6,At-Risk
12393.0,72,4,1582.6000000000001,2,3,3,8,Silver
